budget,revenue,vote_average,vote_count,imdbID,Title,Year,Genre,Metascore,imdbRating,studio_type,audience_score,metascore_10,gap
55000000,1078958629,8.122,27972,tt7286456,Joker,2019,"Crime, Drama, Thriller",59.0,8.3,major,8.211,5.9,2.311
150000000,378858340,7.635,24294,tt1392190,Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",90.0,8.1,major,7.8675,9.0,-1.1325000000000003
175000000,749200054,5.917,22234,tt1386697,Suicide Squad,2016,"Action, Adventure, Fantasy",40.0,5.9,major,5.9085,4.0,1.9085
150000000,1671537444,6.703,21727,tt0369610,Jurassic World,2015,"Action, Adventure, Sci-Fi",59.0,6.9,major,6.801500000000001,5.9,0.9015000000000004
149000000,823970682,7.207,21027,tt0451279,Wonder Woman,2017,"Action, Adventure, Fantasy",76.0,7.3,major,7.2535,7.6,-0.3464999999999998
180000000,809342332,7.309,19819,tt3183660,Fantastic Beasts and Where to Find Them,2016,"Adventure, Family, Fantasy",66.0,7.2,major,7.2545,6.6,0.6545000000000005
250000000,874362803,6.006,19157,tt2975590,Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Sci-Fi",44.0,6.4,major,6.203,4.4,1.803
150000000,549136737,7.45,17723,tt5013056,Dunkirk,2017,"Action, Drama, History",94.0,7.8,major,7.625,9.4,-1.7750000000000004
175000000,607274134,7.589,17121,tt1677720,Ready Player One,2018,"Action, Adventure, Sci-Fi",64.0,7.4,major,7.4945,6.4,1.0945
160000000,1266115964,6.967,16081,tt2771200,Beauty and the Beast,2017,"Adventure, Family, Fantasy",65.0,7.1,major,7.0335,6.5,0.5335000000000001
17000000,340955294,7.395,15499,tt6644200,A Quiet Place,2018,"Drama, Horror, Sci-Fi",82.0,7.5,major,7.4475,8.2,-0.7524999999999995
160000000,1152028393,6.866,15039,tt1477834,Aquaman,2018,"Action, Adventure, Fantasy",55.0,6.8,major,6.833,5.5,1.3330000000000002
300000000,661326987,6.07,13776,tt0974015,Justice League,2017,"Action, Adventure, Fantasy",45.0,6.0,major,6.035,4.5,1.5350000000000001
230000000,795922298,6.662,12929,tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Action, Adventure, Fantasy",39.0,6.5,major,6.5809999999999995,3.9,2.6809999999999996
