imdbID,Title,Year,Genre,Metascore,imdbRating,studio_type
tt7286456,Joker,2019,"Crime, Drama, Thriller",59,8.3,major
tt1392190,Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",90,8.1,major
tt1386697,Suicide Squad,2016,"Action, Adventure, Fantasy",40,5.9,major
tt0369610,Jurassic World,2015,"Action, Adventure, Sci-Fi",59,6.9,major
tt0451279,Wonder Woman,2017,"Action, Adventure, Fantasy",76,7.3,major
tt3183660,Fantastic Beasts and Where to Find Them,2016,"Adventure, Family, Fantasy",66,7.2,major
tt2975590,Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Sci-Fi",44,6.4,major
tt5013056,Dunkirk,2017,"Action, Drama, History",94,7.8,major
tt1677720,Ready Player One,2018,"Action, Adventure, Sci-Fi",64,7.4,major
tt2771200,Beauty and the Beast,2017,"Adventure, Family, Fantasy",65,7.1,major
tt6644200,A Quiet Place,2018,"Drama, Horror, Sci-Fi",82,7.5,major
tt1477834,Aquaman,2018,"Action, Adventure, Fantasy",55,6.8,major
tt0974015,Justice League,2017,"Action, Adventure, Fantasy",45,6.0,major
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Action, Adventure, Fantasy",39,6.5,major
tt4881806,Jurassic World: Fallen Kingdom,2018,"Action, Adventure, Sci-Fi",51,6.2,major
tt2322441,Fifty Shades of Grey,2015,"Drama, Romance, Thriller",46,4.2,major
tt1517451,A Star Is Born,2018,"Drama, Music, Romance",88,7.6,major
tt1877830,The Batman,2022,"Action, Crime, Drama",72,7.8,major
tt15398776,Oppenheimer,2023,"Biography, Drama, History",90,8.2,major
tt4123430,Fantastic Beasts: The Crimes of Grindelwald,2018,"Adventure, Family, Fantasy",52,6.5,major
tt2820852,Furious 7,2015,"Action, Thriller",67,7.1,major
tt1517268,Barbie,2023,"Adventure, Comedy, Fantasy",80,6.8,major
tt6723592,Tenet,2020,"Action, Sci-Fi, Thriller",69,7.3,major
tt1745960,Top Gun: Maverick,2022,"Action, Drama",78,8.2,major
tt2293640,Minions,2015,"Animation, Adventure, Comedy",56,6.4,major
tt12361974,Zack Snyder's Justice League,2021,"Action, Adventure, Fantasy",54,7.9,major
tt6718170,The Super Mario Bros. Movie,2023,"Animation, Adventure, Comedy",46,7.0,major
tt7713068,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,"Action, Comedy, Crime",60,6.1,major
tt4630562,The Fate of the Furious,2017,"Action, Crime, Thriller",56,6.6,major
tt6105098,The Lion King,2019,"Animation, Adventure, Drama",55,6.8,major
tt6139732,Aladdin,2019,"Adventure, Comedy, Family",53,6.9,major
tt3794354,Sonic the Hedgehog,2020,"Action, Adventure, Comedy",47,6.5,major
tt3228774,Cruella,2021,"Adventure, Comedy, Crime",59,7.3,major
tt1596363,The Big Short,2015,"Biography, Comedy, Drama",81,7.8,major
tt2381249,Mission: Impossible - Rogue Nation,2015,"Action, Adventure, Thriller",75,7.4,major
tt6334354,The Suicide Squad,2021,"Action, Adventure, Comedy",72,7.2,major
tt2798920,Annihilation,2018,"Adventure, Drama, Horror",79,6.8,major
tt1293847,xXx: Return of Xander Cage,2017,"Action, Adventure, Thriller",42,5.2,major
tt4912910,Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller",87,7.7,major
tt7126948,Wonder Woman 1984,2020,"Action, Adventure, Fantasy",60,5.3,major
tt2126355,San Andreas,2015,"Action, Adventure, Thriller",43,6.1,major
