title,imdb_id,release_date,budget,revenue,vote_average,vote_count,studio_type
Joker,tt7286456,2019-10-01,55000000,1078958629,8.122,27972,major
Mad Max: Fury Road,tt1392190,2015-05-13,150000000,378858340,7.635,24294,major
Suicide Squad,tt1386697,2016-08-03,175000000,749200054,5.917,22234,major
Jurassic World,tt0369610,2015-06-06,150000000,1671537444,6.703,21727,major
Wonder Woman,tt0451279,2017-05-30,149000000,823970682,7.207,21027,major
Fantastic Beasts and Where to Find Them,tt3183660,2016-11-16,180000000,809342332,7.309,19819,major
Batman v Superman: Dawn of Justice,tt2975590,2016-03-23,250000000,874362803,6.006,19157,major
Dunkirk,tt5013056,2017-07-19,150000000,549136737,7.45,17723,major
Ready Player One,tt1677720,2018-03-28,175000000,607274134,7.589,17121,major
Beauty and the Beast,tt2771200,2017-03-16,160000000,1266115964,6.967,16081,major
A Quiet Place,tt6644200,2018-04-03,17000000,340955294,7.395,15499,major
Aquaman,tt1477834,2018-12-07,160000000,1152028393,6.866,15039,major
Justice League,tt0974015,2017-11-15,300000000,661326987,6.07,13776,major
Pirates of the Caribbean: Dead Men Tell No Tales,tt1790809,2017-05-23,230000000,795922298,6.662,12929,major
Jurassic World: Fallen Kingdom,tt4881806,2018-06-06,170000000,1310469037,6.531,12872,major
Fifty Shades of Grey,tt2322441,2015-02-11,40000000,569651467,5.867,12472,major
A Star Is Born,tt1517451,2018-10-03,36000000,436388866,7.492,12287,major
The Batman,tt1877830,2022-03-01,185000000,772775278,7.664,12196,major
Oppenheimer,tt15398776,2023-07-19,100000000,952000000,8.023,12086,major
Fantastic Beasts: The Crimes of Grindelwald,tt4123430,2018-11-14,200000000,654900000,6.833,11553,major
Furious 7,tt2820852,2015-04-01,190000000,1515400000,7.216,11381,major
Barbie,tt1517268,2023-07-19,145000000,1447138421,6.916,11292,major
Tenet,tt6723592,2020-08-22,205000000,365304105,7.175,11280,major
Top Gun: Maverick,tt1745960,2022-05-21,170000000,1488732821,8.158,11241,major
Minions,tt2293640,2015-06-17,74000000,1159457503,6.421,11184,major
Zack Snyder's Justice League,tt12361974,2021-03-18,70000000,0,8.1,10961,major
The Super Mario Bros. Movie,tt6718170,2023-04-05,100000000,1360879735,7.602,10934,major
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),tt7713068,2020-02-05,75000000,205537933,6.87,10890,major
The Fate of the Furious,tt4630562,2017-04-12,250000000,1236000000,6.852,10887,major
The Lion King,tt6105098,2019-07-12,260000000,1662020819,7.095,10814,major
Aladdin,tt6139732,2019-05-22,183000000,1054304000,7.081,10705,major
Sonic the Hedgehog,tt3794354,2020-02-12,85000000,319715683,7.279,10467,major
Cruella,tt3228774,2021-05-26,200000000,233503234,7.972,10174,major
The Big Short,tt1596363,2015-12-11,28000000,133346506,7.368,9936,major
Mission: Impossible - Rogue Nation,tt2381249,2015-07-28,150000000,682716636,7.225,9807,major
The Suicide Squad,tt6334354,2021-07-28,185000000,168717425,7.456,9711,major
Annihilation,tt2798920,2018-02-22,40000000,43070915,6.446,9465,major
xXx: Return of Xander Cage,tt1293847,2017-01-13,85000000,346118277,6.1,9279,major
Mission: Impossible - Fallout,tt4912910,2018-07-25,178000000,824171374,7.45,9234,major
Wonder Woman 1984,tt7126948,2020-12-16,200000000,169601036,6.364,9138,major
San Andreas,tt2126355,2015-05-27,110000000,473990832,6.248,9100,major
Terminator Genisys,tt1340138,2015-06-23,155000000,440603537,5.959,9057,major
Ocean's Eight,tt5164214,2018-06-07,70000000,297718711,6.953,8876,major
Ghost in the Shell,tt1219827,2017-03-29,110000000,169801921,6.109,8636,major
The Secret Life of Pets,tt2709768,2016-06-18,75000000,875457937,6.3,8567,major
Baywatch,tt1469304,2017-05-25,69000000,177900000,6.081,8560,major
The Jungle Book,tt3040964,2016-04-07,175000000,966550600,6.877,8558,major
Tomb Raider,tt1365519,2018-03-05,94000000,274650803,6.365,8420,major
Fifty Shades Freed,tt4477536,2018-01-17,55000000,371985018,6.67,8396,major
Focus,tt2381941,2015-02-25,50100000,153962963,6.872,8342,major
The Meg,tt4779682,2018-08-09,150000000,530517320,6.252,8269,major
Us,tt6857112,2019-03-14,20000000,256071218,6.944,8167,major
Ted 2,tt2637276,2015-06-25,68000000,215863606,6.326,8063,major
Fifty Shades Darker,tt4465564,2017-02-08,55000000,381545846,6.473,7980,major
Fast & Furious Presents: Hobbs & Shaw,tt6806448,2019-07-31,200000000,760098996,6.827,7840,major
Sully,tt3263904,2016-09-07,60000000,240800000,7.205,7781,major
F9,tt5433138,2021-05-19,200000000,726229501,6.991,7774,major
The Mummy,tt2345759,2017-06-06,125000000,409231607,5.521,7709,major
Despicable Me 3,tt3469046,2017-06-15,80000000,1034800131,6.47,7695,major
A Quiet Place Part II,tt8332922,2021-05-21,55000000,297372261,7.431,7502,major
Cinderella,tt1661199,2015-03-06,95000000,543514353,6.826,7455,major
The Accountant,tt2140479,2016-10-13,44000000,155160045,7.138,7456,major
Tomorrowland,tt1964418,2015-05-19,190000000,209200000,6.298,7405,major
The Intern,tt2361509,2015-09-23,35000000,194564672,7.229,7392,major
Jupiter Ascending,tt1617661,2015-02-04,176000000,184000000,5.472,7168,major
Star Trek Beyond,tt2660888,2016-07-07,185000000,343471816,6.793,7167,major
mother!,tt5109784,2017-09-13,30000000,44516999,6.956,7164,major
Jurassic World Dominion,tt8041270,2022-06-01,658800000,1004004592,6.602,7161,major
Black Adam,tt6443346,2022-10-19,200000000,393452111,6.787,7124,major
Mulan,tt4566758,2020-09-04,200000000,69965374,6.823,7096,major
The Man from U.N.C.L.E.,tt1638355,2015-08-13,75000000,110045109,7.079,6929,major
Alice Through the Looking Glass,tt2567026,2016-05-25,170000000,299457024,6.6,6828,major
Transformers: The Last Knight,tt3371366,2017-06-16,217000000,605425157,6.06,6802,major
Bumblebee,tt4701182,2018-11-22,135000000,467989645,6.72,6702,major
Onward,tt7146812,2020-02-29,200000000,141888276,7.6,6634,major
Happy Death Day,tt5308322,2017-10-12,4800000,125479266,6.66,6623,major
The Matrix Resurrections,tt10838180,2021-12-16,190000000,156497322,6.327,6575,major
The Legend of Tarzan,tt0918940,2016-06-29,180000000,356743061,5.923,6566,major
Maleficent: Mistress of Evil,tt4777008,2019-10-16,185000000,491730089,7.296,6546,major
